stmt_id,date,amount,narration,utr
STM-5004,2026-08-12,24345.26,UPI MAPANDCO INV2899,UTR169824
STM-5029,2026-08-04,39347.15,IMPS LOTUS HANDICRAFTS INV-2666,UTR566024
STM-5025,2026-08-17,22621.88,UPI MAPLE & CO INV-2680,UTR414324
STM-5006,2026-08-08,29133.42,RTGS REDWOOD PHARMA INV-2596,UTR390662
STM-5024,2026-08-19,38159.57,UPI IVOINT INV-2815,UTR668452
STM-5042,2026-08-08,43423.75,UPI ORBIT ELECTRONICS INV-2339,UTR579574
STM-5007,2026-08-14,42234.73,IMPS REDWOOD PHARMA INV-2994,UTR901178
STM-5046,2026-08-05,31547.32,IMPS BLUEPEAK RETAIL INV-2480,UTR350859
STM-5044,2026-08-18,31722.9,NEFT SILVERLINE TEXTILES INV-2738,UTR743346
STM-5036,2026-08-14,13507.37,UPI BLUEPEAK RETAIL INV-2668,UTR604901
STM-5049,2026-08-19,11881.47,IMPS VERTEX INDUSTRIES INV-2581,UTR856004
STM-5005,2026-08-10,9391.32,RTGS PINSTE INV-2821,UTR208533
STM-5003,2026-08-18,21841.31,NEFT CRESTLINE MEDIA INV-2137,UTR199848
STM-5048,2026-08-03,45971.44,IMPS IVORY INTERIORS INV-2058,UTR129841
STM-5043,2026-08-03,34730.21,IMPS AMBER FOODS INV-2286,UTR965299
STM-5012,2026-08-17,7003.94,RTGS MAPANDCO INV-2369,UTR108573
STM-5001,2026-08-17,37061.76,IMPS ORBIT ELECTRONICS INV-2507,UTR283771
STM-5031,2026-08-11,13736.29,IMPS HARBOR EXPORTS INV-2547,UTR682637
STM-5050,2026-08-14,2088.04,NEFT FALCON FREIGHT INV-2798,UTR438291
STM-5045,2026-08-12,42875.31,IMPS SILVERLINE TEXTILES INV-2908,UTR899326
STM-5026,2026-08-17,16801.9,NEFT FALCON FREIGHT INV-2151,UTR429175
STM-5040,2026-08-11,34520.21,UPI HARBOR EXPORTS INV-2546,UTR970274
STM-5013,2026-08-12,10844.94,RTGS CREMED INV-2489,UTR265621
STM-5035,2026-08-11,40339.83,NEFT HARBOR EXPORTS INV-2176,UTR170277
STM-5030,2026-08-09,23223.47,NEFT ZENITH AUTO PARTS INV-2331,UTR376835
STM-5028,2026-08-03,14018.5,RTGS NIMLOG INV-2047,UTR361886
STM-5018,2026-08-05,33630.14,IMPS ORBIT ELECTRONICS INV-2169,UTR725487
STM-5022,2026-08-11,19787.36,UPI VERTEX INDUSTRIES INV-2984,UTR542799
STM-5027,2026-08-14,32051.08,IMPS BLUEPEAK RETAIL INV-2955,UTR891518
STM-5037,2026-08-06,17222.94,NEFT MAPLE & CO INV-2833,UTR583005
STM-5021,2026-08-20,42098.58,RTGS HARBOR EXPORTS INV-2450,UTR231936
STM-5038,2026-08-06,47628.84,UPI CRESTLINE MEDIA INV-2518,UTR874014
STM-5017,2026-08-12,27544.92,IMPS FALCON FREIGHT INV-2235,UTR392829
STM-5009,2026-08-16,24031.89,NEFT BLUEPEAK RETAIL INV-2129,UTR975471
STM-5015,2026-08-04,49433.93,IMPS GREAGR INV2170,UTR604867
STM-5014,2026-08-07,14136.49,UPI SILVERLINE TEXTILES INV-2029,UTR298805
STM-5032,2026-08-03,678.46,UPI NIMBUS LOGISTICS INV-2943,UTR162368
STM-5002,2026-08-14,4197.38,UPI SILVERLINE TEXTILES INV-2680,UTR723779
STM-5041,2026-08-15,15781.58,IMPS LOTUS HANDICRAFTS INV-2667,UTR878216
STM-5011,2026-08-12,10744.23,UPI ORBIT ELECTRONICS INV-2886,UTR393740
STM-5020,2026-08-18,35103.03,NEFT MAPLE & CO INV-2811,UTR495426
STM-5019,2026-08-01,16032.84,IMPS NIMBUS LOGISTICS INV-2577,UTR286918
STM-5033,2026-08-19,5390.17,NEFT HARBOR EXPORTS INV-2056,UTR433550
STM-5023,2026-08-02,37309.22,RTGS QUANTUM DEVICES INV-2069,UTR252371
STM-5010,2026-08-05,35134.72,RTGS PINNACLE STEEL INV-2412,UTR247093
STM-5016,2026-08-08,34036.42,IMPS REDWOOD PHARMA INV-2336,UTR906077
STM-5039,2026-08-16,28642.54,UPI IVORY INTERIORS INV-2311,UTR544625
STM-5047,2026-08-10,26192.93,UPI PINNACLE STEEL INV-2591,UTR198170
STM-5008,2026-08-05,15148.51,UPI HARBOR EXPORTS INV-2696,UTR381975
STM-5034,2026-08-19,5183.55,UPI GREENFIELD AGRO INV-2750,UTR695080
