txn_id,stmt_id,match_type
LED-1001,STM-5001,exact
LED-1002,STM-5002,date_lag
LED-1003,STM-5003,exact
LED-1004,STM-5004,garbled
LED-1005,STM-5005,garbled
LED-1006,STM-5006,date_lag
LED-1007,STM-5007,exact
LED-1008,STM-5008,date_lag
LED-1009,STM-5009,exact
LED-1010,STM-5010,exact
LED-1011,STM-5011,exact
LED-1012,STM-5012,garbled
LED-1013,STM-5013,garbled
LED-1014,STM-5014,exact
LED-1015,STM-5015,garbled
LED-1016,STM-5016,amount_mismatch
LED-1017,STM-5017,exact
LED-1018,STM-5018,exact
LED-1019,STM-5019,exact
LED-1020,STM-5020,amount_mismatch
LED-1021,STM-5021,date_lag
LED-1022,STM-5022,exact
LED-1023,STM-5023,exact
LED-1024,STM-5024,garbled
LED-1025,STM-5025,exact
LED-1026,STM-5026,exact
LED-1027,STM-5027,amount_mismatch
LED-1028,STM-5028,garbled
LED-1029,STM-5029,exact
LED-1030,STM-5030,exact
LED-1031,STM-5031,exact
LED-1032,STM-5032,amount_mismatch
LED-1033,STM-5033,date_lag
LED-1034,STM-5034,exact
LED-1035,STM-5035,exact
LED-1036,STM-5036,date_lag
LED-1037,STM-5037,exact
LED-1038,STM-5038,exact
LED-1039,STM-5039,exact
LED-1040,STM-5040,exact
LED-1041,STM-5041,date_lag
LED-1042,STM-5042,amount_mismatch
LED-1043,STM-5043,exact
LED-1044,STM-5044,date_lag
LED-1045,,ledger_orphan
LED-1046,,ledger_orphan
LED-1047,,ledger_orphan
LED-1048,,ledger_orphan
LED-1049,,ledger_orphan
LED-1050,,ledger_orphan
,STM-5045,bank_orphan
,STM-5046,bank_orphan
,STM-5047,bank_orphan
,STM-5048,bank_orphan
,STM-5049,bank_orphan
,STM-5050,bank_orphan
