txn_id,date,amount,counterparty,reference,status
LED-1047,2026-08-14,30985.21,Redwood Pharma,INV-2517,pending
LED-1010,2026-08-05,35134.72,Pinnacle Steel,INV-2412,settled
LED-1029,2026-08-04,39347.15,Lotus Handicrafts,INV-2666,settled
LED-1030,2026-08-09,23223.47,Zenith Auto Parts,INV-2331,settled
LED-1011,2026-08-12,10744.23,Orbit Electronics,INV-2886,settled
LED-1046,2026-08-13,44714.17,Zenith Auto Parts,INV-2421,pending
LED-1012,2026-08-17,7003.94,Maple & Co,INV-2369,settled
LED-1037,2026-08-06,17222.94,Maple & Co,INV-2833,settled
LED-1038,2026-08-06,47628.84,Crestline Media,INV-2518,settled
LED-1013,2026-08-12,10844.94,Crestline Media,INV-2489,settled
LED-1016,2026-08-08,34463.77,Redwood Pharma,INV-2336,settled
LED-1043,2026-08-03,34730.21,Amber Foods,INV-2286,settled
LED-1034,2026-08-19,5183.55,Greenfield Agro,INV-2750,settled
LED-1003,2026-08-18,21841.31,Crestline Media,INV-2137,settled
LED-1028,2026-08-03,14018.5,Nimbus Logistics,INV-2047,settled
LED-1018,2026-08-05,33630.14,Orbit Electronics,INV-2169,settled
LED-1033,2026-08-16,5390.17,Harbor Exports,INV-2056,settled
LED-1031,2026-08-11,13736.29,Harbor Exports,INV-2547,settled
LED-1024,2026-08-19,38159.57,Ivory Interiors,INV-2815,settled
LED-1032,2026-08-03,686.35,Nimbus Logistics,INV-2943,settled
LED-1001,2026-08-17,37061.76,Orbit Electronics,INV-2507,settled
LED-1048,2026-08-02,8795.81,Acme Traders,INV-2121,pending
LED-1014,2026-08-07,14136.49,Silverline Textiles,INV-2029,settled
LED-1023,2026-08-02,37309.22,Quantum Devices,INV-2069,settled
LED-1002,2026-08-13,4197.38,Silverline Textiles,INV-2680,settled
LED-1045,2026-08-09,27464.29,Crestline Media,INV-2072,pending
LED-1015,2026-08-04,49433.93,Greenfield Agro,INV-2170,settled
LED-1026,2026-08-17,16801.9,Falcon Freight,INV-2151,settled
LED-1044,2026-08-15,31722.9,Silverline Textiles,INV-2738,settled
LED-1017,2026-08-12,27544.92,Falcon Freight,INV-2235,settled
LED-1019,2026-08-01,16032.84,Nimbus Logistics,INV-2577,settled
LED-1022,2026-08-11,19787.36,Vertex Industries,INV-2984,settled
LED-1005,2026-08-10,9391.32,Pinnacle Steel,INV-2821,settled
LED-1009,2026-08-16,24031.89,Bluepeak Retail,INV-2129,settled
LED-1027,2026-08-14,32559,Bluepeak Retail,INV-2955,settled
LED-1041,2026-08-12,15781.58,Lotus Handicrafts,INV-2667,settled
LED-1049,2026-08-16,41494.76,Maple & Co,INV-2683,pending
LED-1042,2026-08-08,44053.72,Orbit Electronics,INV-2339,settled
LED-1006,2026-08-07,29133.42,Redwood Pharma,INV-2596,settled
LED-1008,2026-08-02,15148.51,Harbor Exports,INV-2696,settled
LED-1050,2026-08-06,2124.13,Bluepeak Retail,INV-2700,pending
LED-1021,2026-08-17,42098.58,Harbor Exports,INV-2450,settled
LED-1035,2026-08-11,40339.83,Harbor Exports,INV-2176,settled
LED-1039,2026-08-16,28642.54,Ivory Interiors,INV-2311,settled
LED-1020,2026-08-18,35746.47,Maple & Co,INV-2811,settled
LED-1036,2026-08-13,13507.37,Bluepeak Retail,INV-2668,settled
LED-1004,2026-08-12,24345.26,Maple & Co,INV-2899,settled
LED-1007,2026-08-14,42234.73,Redwood Pharma,INV-2994,settled
LED-1025,2026-08-17,22621.88,Maple & Co,INV-2680,settled
LED-1040,2026-08-11,34520.21,Harbor Exports,INV-2546,settled
